upstream,downstream,downstream_j,region,pop,lwr,upr,samp
0,0.8,DS Juv = 0.1,MAT,67790910.3795035,47917285.15,89054523.55,530
0,0.8,DS Juv = 0.1,NNE,821913090.080915,618823762.125,1068422952.725,823
0,0.8,DS Juv = 0.1,SNE,7156609.98320134,4529918.2,9541506.5,144
0,0.8,DS Juv = 0.2,MAT,67747872.8686071,48339654.125,87593718.95,556
0,0.8,DS Juv = 0.2,NNE,824587192.260186,576700185.4,1055705460.275,818
0,0.8,DS Juv = 0.2,SNE,7011678.16939189,4936287.25,8992209.6,158
0,0.8,DS Juv = 0.3,MAT,68228820.1532982,48163615.625,89864234.5,509
0,0.8,DS Juv = 0.3,NNE,819418644.36245,596009531.45,1048629134.225,805
0,0.8,DS Juv = 0.3,SNE,6956607.66027437,5235794.75,8741330.35,112
0,0.8,DS Juv = 0.4,MAT,70013700.1233758,49275756.675,91818318.2,553
0,0.8,DS Juv = 0.4,NNE,820314727.146941,576049855.825,1076840770.975,870
0,0.8,DS Juv = 0.4,SNE,6704449.51418528,4613448.1,8785610.9,130
0,0.8,DS Juv = 0.5,MAT,68803436.7087156,48211357.55,88885509.55,476
0,0.8,DS Juv = 0.5,NNE,824291866.803581,607459676.05,1048663516.175,833
0,0.8,DS Juv = 0.5,SNE,6966335.25190476,4368055.85,9399470.2,122
0,0.8,DS Juv = 0.6,MAT,67814681.3722986,48534132.625,89266340.825,544
0,0.8,DS Juv = 0.6,NNE,798171934.399961,575007630.175,1026474653.225,786
0,0.8,DS Juv = 0.6,SNE,7100481.90581592,4779336.475,9794408.575,149
0,0.8,DS Juv = 0.7,MAT,68240980.3299607,48626537.075,90626451.8,572
0,0.8,DS Juv = 0.7,NNE,808574128.461414,583055149.05,1021165247.7,808
0,0.8,DS Juv = 0.7,SNE,6749109.40788616,4685130.1,9375294.6,124
0,0.8,DS Juv = 0.8,MAT,67514343.0926723,47382090.925,90464513.85,464
0,0.8,DS Juv = 0.8,NNE,820395626.98033,592787795.475,1076702149.075,821
0,0.8,DS Juv = 0.8,SNE,6848459.57433586,4071924.1,9189752.9,139
0,0.8,DS Juv = 0.9,MAT,68834052.1879295,47748125.425,88442892.975,535
0,0.8,DS Juv = 0.9,NNE,823763681.13352,609410142.1,1061294056.2,850
0,0.8,DS Juv = 0.9,SNE,7046494.9000821,4920153.975,9044654.375,135
0,0.8,DS Juv = 1,MAT,67897439.9325728,48204619.2,89562721.225,532
0,0.8,DS Juv = 1,NNE,809151753.914349,565389285.2,1037480221.1,847
0,0.8,DS Juv = 1,SNE,6815854.1954023,4778917.275,9132628.375,134
0,0.9,DS Juv = 0,MAT,68054729.2533652,46885124.3,90393741.45,557
0,0.9,DS Juv = 0,NNE,832789821.766011,621662348,1065345046.1,834
0,0.9,DS Juv = 0,SNE,6957033.01569494,4790159.25,9237670.7,133
0,0.9,DS Juv = 0.1,MAT,69814126.7144655,51068851.025,89906925.975,516
0,0.9,DS Juv = 0.1,NNE,817523779.913644,586288183.075,1081502008.925,813
0,0.9,DS Juv = 0.1,SNE,6906847.76733061,4927383.8,8757809.15,139
0,0.9,DS Juv = 0.2,MAT,68541395.7395422,48860633.875,90128313.65,530
0,0.9,DS Juv = 0.2,NNE,807977700.758049,565790352.175,1023784227.625,762
0,0.9,DS Juv = 0.2,SNE,6833782.48695564,5018373.5,8747967.7,125
0,0.9,DS Juv = 0.3,MAT,68664631.9410398,47318327.45,86886088.625,529
0,0.9,DS Juv = 0.3,NNE,830640462.816676,577710003.325,1058076571.725,807
0,0.9,DS Juv = 0.3,SNE,7079387.0809703,5042464.75,9376901.975,124
0,0.9,DS Juv = 0.4,MAT,69655840.4548487,50193151.225,89537136.05,496
0,0.9,DS Juv = 0.4,NNE,824601964.973689,572281822.7,1085632402.1,823
0,0.9,DS Juv = 0.4,SNE,6677960.51170569,4849194.35,8397602.85,133
0,0.9,DS Juv = 0.5,MAT,68206291.8837072,46391408.8,91670275.375,545
0,0.9,DS Juv = 0.5,NNE,816316636.189986,582962026.15,1070279674.375,883
0,0.9,DS Juv = 0.5,SNE,6791939.63055274,4835188.475,9177869.9,155
0,0.9,DS Juv = 0.6,MAT,69059638.3725422,48214344.425,90220048.475,524
0,0.9,DS Juv = 0.6,NNE,818717862.02682,591283385.025,1042494379.75,805
0,0.9,DS Juv = 0.6,SNE,6997140.56916055,5258913.325,8848392,135
0,0.9,DS Juv = 0.7,MAT,69286644.6418405,49973150.85,90999460.075,525
0,0.9,DS Juv = 0.7,NNE,833423516.343904,598120644.625,1105595411.65,838
0,0.9,DS Juv = 0.7,SNE,7115045.45696619,5058177.05,9484940.2,143
0,0.9,DS Juv = 0.8,MAT,69987886.2623929,49810540.7,90995249.1,542
0,0.9,DS Juv = 0.8,NNE,822744592.707845,612930316.275,1060205825.8,818
0,0.9,DS Juv = 0.8,SNE,6923378.53462365,4835391.3,8622922.9,120
0,0.9,DS Juv = 0.9,MAT,69133535.38199,50556246.425,90487945.275,537
0,0.9,DS Juv = 0.9,NNE,817591427.531389,580471143.9,1084348078.175,851
