upstream,downstream,downstream_j,pop,lwr,upr,samp
0.2,0.2,DS Juv = 1,889946777.5,669819214.55,1173183158.025,1528
0.2,0.3,DS Juv = 0,867653566.5,602484961.475,1117738439.2,1573
0.2,0.3,DS Juv = 0.1,873673262.5,670369249.4,1164764390.45,1495
0.2,0.3,DS Juv = 0.2,858184945,603508091.925,1134757304.175,1534
0.2,0.3,DS Juv = 0.3,869405045.5,613069214.2,1140229077.375,1519
0.2,0.3,DS Juv = 0.4,892066270,655167540.525,1158976086.25,1507
0.2,0.3,DS Juv = 0.5,889789163.5,642215174.5,1148550343.375,1442
0.2,0.3,DS Juv = 0.6,880263005,618999858.75,1124653679.625,1548
0.2,0.3,DS Juv = 0.7,879313432.5,641078160.525,1135361896.2,1388
0.2,0.3,DS Juv = 0.8,870741681,655968632.025,1138970381.775,1523
0.2,0.3,DS Juv = 0.9,901789157.5,649289348.65,1169148766.4,1548
0.2,0.3,DS Juv = 1,910021692,645449109.025,1175110947.55,1529
0.2,0.4,DS Juv = 0,887154524.5,643168127.9,1099322590.625,1561
0.2,0.4,DS Juv = 0.1,851342255,604727451.925,1107803314.625,1474
0.2,0.4,DS Juv = 0.2,859307629.5,590945559.975,1131199274.2,1578
0.2,0.4,DS Juv = 0.3,857042080,642063725.725,1146709909.55,1496
0.2,0.4,DS Juv = 0.4,888854883,599509837.85,1142416949.075,1517
0.2,0.4,DS Juv = 0.5,895414009.5,634958660.225,1175160949.825,1512
0.2,0.4,DS Juv = 0.6,862748028,637815304.225,1128538994.35,1518
0.2,0.4,DS Juv = 0.7,906909595,636826058.425,1135687638.05,1502
0.2,0.4,DS Juv = 0.8,909452773.5,645791696.675,1151280361.25,1586
0.2,0.4,DS Juv = 0.9,880436603.5,621217390.725,1198180338.125,1525
0.2,0.4,DS Juv = 1,902664136,622353506.425,1170403249.325,1453
0.2,0.5,DS Juv = 0,884955617.5,631848556.925,1148634697.05,1495
0.2,0.5,DS Juv = 0.1,849102158,622964999.45,1134123979.45,1541
0.2,0.5,DS Juv = 0.2,885453759.5,594262010.4,1128448431.375,1492
0.2,0.5,DS Juv = 0.3,872424377.5,612666290.025,1155437236.9,1395
0.2,0.5,DS Juv = 0.4,885167674.5,637490714.55,1126015501.325,1547
0.2,0.5,DS Juv = 0.5,881285044,604326964.8,1149366977.275,1517
0.2,0.5,DS Juv = 0.6,884295168,675968840,1136857553.725,1484
0.2,0.5,DS Juv = 0.7,880315273,651597889.25,1161096192.275,1542
0.2,0.5,DS Juv = 0.8,904790761,611085471.175,1158119928.2,1514
0.2,0.5,DS Juv = 0.9,898849922.5,626769665.05,1171452798.775,1460
0.2,0.5,DS Juv = 1,911902654,654502647.7,1207862092.525,1500
0.2,0.6,DS Juv = 0,845959646.5,580352957.975,1074614111.7,1471
0.2,0.6,DS Juv = 0.1,872332985.5,593120550.925,1104938700.4,1533
0.2,0.6,DS Juv = 0.2,886836335.5,624492760.475,1129344814.925,1521
0.2,0.6,DS Juv = 0.3,899464713,606462238.95,1121990012.65,1525
0.2,0.6,DS Juv = 0.4,887236448.5,623334212.9,1134046519.975,1557
0.2,0.6,DS Juv = 0.5,889390129.5,619731801.975,1150298223.65,1459
0.2,0.6,DS Juv = 0.6,897466438,647371653.35,1162595797.3,1505
0.2,0.6,DS Juv = 0.7,907285403,671232935.75,1137423525.125,1545
0.2,0.6,DS Juv = 0.8,902963819.5,678065996.825,1182185245.2,1474
0.2,0.6,DS Juv = 0.9,935408712,667056333.2,1169892023.35,1527
0.2,0.6,DS Juv = 1,918028691,668033640.35,1189026850.775,1558
0.2,0.7,DS Juv = 0,862880375.5,608857262.4,1085701383.5,1508
0.2,0.7,DS Juv = 0.1,896346868.5,651984268.475,1149815942.7,1592
0.2,0.7,DS Juv = 0.2,896614830,642527487.825,1100710388.8,1460
0.2,0.7,DS Juv = 0.3,898706107.5,654538492.8,1135914109.05,1501
0.2,0.7,DS Juv = 0.4,878985032,628515111.275,1179902126.425,1456
0.2,0.7,DS Juv = 0.5,885480214,610270930.425,1139784593.425,1522
0.2,0.7,DS Juv = 0.6,888984124.5,655729116.45,1161240360.925,1484
0.2,0.7,DS Juv = 0.7,886230830.5,619533924.1,1145974014.525,1508
0.2,0.7,DS Juv = 0.8,902605935,682078495.1,1182029916.475,1519
0.2,0.7,DS Juv = 0.9,909651722.5,638936657.625,1239841101.775,1517
0.2,0.7,DS Juv = 1,920611822.5,658343972.375,1221025773.8,1469
0.2,0.8,DS Juv = 0,882785905,646380717,1147519033.25,1517
0.2,0.8,DS Juv = 0.1,889415224.5,627770419.4,1132585809,1483
0.2,0.8,DS Juv = 0.2,873534848.5,631516539.1,1175303560.025,1485
0.2,0.8,DS Juv = 0.3,902953534,649599141.7,1175324562.475,1460
0.2,0.8,DS Juv = 0.4,919170343,678996700.625,1172305230.95,1491
0.2,0.8,DS Juv = 0.5,888520519.5,639508805.8,1163868336.7,1565
0.2,0.8,DS Juv = 0.6,922882385.5,635186382.425,1175915909.95,1491
0.2,0.8,DS Juv = 0.7,915447419,677025238.7,1204519239.65,1460
0.2,0.8,DS Juv = 0.8,925820358.5,679350611.525,1193111320.6,1525
0.2,0.8,DS Juv = 0.9,905999027,677080692.175,1184856398.45,1493
0.2,0.8,DS Juv = 1,931545842,663248241.275,1200541334.7,1512
0.2,0.9,DS Juv = 0,872980563.5,611646037.85,1148984560.575,1439
0.2,0.9,DS Juv = 0.1,886338468.5,617732472.4,1136699844.925,1565
0.2,0.9,DS Juv = 0.2,909761227,637477410.65,1123109474.825,1591
0.2,0.9,DS Juv = 0.3,897019136,634625292.175,1156723682.075,1481
0.2,0.9,DS Juv = 0.4,905050175.5,648414716.325,1164768526.275,1544
0.2,0.9,DS Juv = 0.5,910998138,707961145.625,1165816933.975,1558
0.2,0.9,DS Juv = 0.6,888300493.5,631962568.2,1171926902.05,1449
0.2,0.9,DS Juv = 0.7,925551831.5,679589242.75,1162336619.275,1457
0.2,0.9,DS Juv = 0.8,909794571,643330189.05,1158993326.85,1607
0.2,0.9,DS Juv = 0.9,929514015.5,606914363.45,1204994612.3,1520
0.2,0.9,DS Juv = 1,936963531.5,687740685.575,1220511936.175,1503
0.2,1,DS Juv = 0,852849672,627314488.85,1121800619.75,1499
0.2,1,DS Juv = 0.1,872093357.5,618437917.7,1146266366,1399
0.2,1,DS Juv = 0.2,880496257.5,637254900.175,1135824683.475,1474
0.2,1,DS Juv = 0.3,911687493,646628815.375,1198142185.775,1535
0.2,1,DS Juv = 0.4,912580382,668913463.675,1182785332.475,1460
0.2,1,DS Juv = 0.5,894655895,636854277.325,1155357552.95,1516
0.2,1,DS Juv = 0.6,924780361,682995889.775,1159089170.925,1493
